ID|NAME|COST|TYPE|POWER|TOUGHNESS|ORACLE|SET|RARITY|ARTIST|COLLNUM|TEXT|PROPERTIES
12394|Nim Lasher|{2}{B}|Creature - Zombie|1|1|Nim Lasher gets +1/+0 for each artifact you control.|Mirrodin|Common|Adam Rex|71|Nim Lasher gets +1/+0 for each artifact you control.|
30008|Mesmeric Orb|{2}|Artifact|||Whenever a permanent becomes untapped, that permanent's controller puts the top card of his or her library into his or her graveyard.|Mirrodin|Rare|David Martin|204|Whenever a permanent becomes untapped, that permanent's controller puts the top card of his or her library into his or her graveyard.|
34901|Oblivion Stone|{3}|Artifact|||{4}, {T}: Put a fate counter on target permanent.<br>{5}, {T}, Sacrifice Oblivion Stone: Destroy each nonland permanent without a fate counter on it, then remove all fate counters from all permanents.|Mirrodin|Rare|Sam Wood|222|{4}, {T}: Put a fate counter on target permanent.<br>{5}, {T}, Sacrifice Oblivion Stone: Destroy each nonland permanent without a fate counter on it, then remove all fate counters from all permanents.|
35464|Tower of Fortunes|{4}|Artifact|||{8}, {T}: Draw four cards.|Mirrodin|Rare|Matt Cavotta|267|{8}, {T}: Draw four cards.|
39597|Talisman of Progress|{2}|Artifact|||{T}: Add {1} to your mana pool.<br>{T}: Add {W} or {U} to your mana pool. Talisman of Progress deals 1 damage to you.|Mirrodin|Uncommon|Mike Dringenberg|256|{T}: Add {1} to your mana pool.<br>{T}: Add {W} or {U} to your mana pool. Talisman of Progress deals 1 damage to you.|
39598|Talisman of Dominance|{2}|Artifact|||{T}: Add {1} to your mana pool.<br>{T}: Add {U} or {B} to your mana pool. Talisman of Dominance deals 1 damage to you.|Mirrodin|Uncommon|Mike Dringenberg|253|{T}: Add {1} to your mana pool.<br>{T}: Add {U} or {B} to your mana pool. Talisman of Dominance deals 1 damage to you.|
39599|Talisman of Indulgence|{2}|Artifact|||{T}: Add {1} to your mana pool.<br>{T}: Add {B} or {R} to your mana pool. Talisman of Indulgence deals 1 damage to you.|Mirrodin|Uncommon|Mike Dringenberg|255|{T}: Add {1} to your mana pool.<br>{T}: Add {B} or {R} to your mana pool. Talisman of Indulgence deals 1 damage to you.|
39600|Talisman of Impulse|{2}|Artifact|||{T}: Add {1} to your mana pool.<br>{T}: Add {R} or {G} to your mana pool. Talisman of Impulse deals 1 damage to you.|Mirrodin|Uncommon|Mike Dringenberg|254|{T}: Add {1} to your mana pool.<br>{T}: Add {R} or {G} to your mana pool. Talisman of Impulse deals 1 damage to you.|
39601|Talisman of Unity|{2}|Artifact|||{T}: Add {1} to your mana pool.<br>{T}: Add {G} or {W} to your mana pool. Talisman of Unity deals 1 damage to you.|Mirrodin|Uncommon|Mike Dringenberg|257|{T}: Add {1} to your mana pool.<br>{T}: Add {G} or {W} to your mana pool. Talisman of Unity deals 1 damage to you.|
43614|War Elemental|{R}{R}{R}|Creature - Elemental|1|1|When War Elemental enters the battlefield, sacrifice it unless an opponent was dealt damage this turn.<br>Whenever an opponent is dealt damage, put that many +1/+1 counters on War Elemental.|Mirrodin|Rare|Anthony S. Waters|112|When War Elemental enters the battlefield, sacrifice it unless an opponent was dealt damage this turn.<br>Whenever an opponent is dealt damage, put that many +1/+1 counters on War Elemental.|
45958|Leonin Den-Guard|{1}{W}|Creature - Cat Soldier|1|3|As long as Leonin Den-Guard is equipped, it gets +1/+1 and has vigilance.|Mirrodin|Common|Todd Lockwood|9|As long as Leonin Den-Guard is equipped, it gets +1/+1 and has vigilance.|
45963|Auriok Transfixer|{W}|Creature - Human Scout|1|1|{W}, {T}: Tap target artifact.|Mirrodin|Common|Stephen Tappin|5|{W}, {T}: Tap target artifact.|
45965|Moriok Scavenger|{3}{B}|Creature - Human Rogue|2|3|When Moriok Scavenger enters the battlefield, you may return target artifact creature card from your graveyard to your hand.|Mirrodin|Common|Puddnhead|68|When Moriok Scavenger enters the battlefield, you may return target artifact creature card from your graveyard to your hand.|
45968|Sphere of Purity|{3}{W}|Enchantment|||If an artifact would deal damage to you, prevent 1 of that damage.|Mirrodin|Common|Thomas Gianni|26|If an artifact would deal damage to you, prevent 1 of that damage.|
45970|Fatespinner|{1}{U}{U}|Creature - Human Wizard|1|2|At the beginning of each opponent's upkeep, that player chooses draw step, main phase, or combat phase. The player skips each instance of the chosen step or phase this turn.|Mirrodin|Rare|rk post|36|At the beginning of each opponent's upkeep, that player chooses draw step, main phase, or combat phase. The player skips each instance of the chosen step or phase this turn.|
45972|Lumengrid Sentinel|{2}{U}|Creature - Human Wizard|1|2|Flying<br>Whenever an artifact enters the battlefield under your control, you may tap target permanent.|Mirrodin|Uncommon|Scott M. Fischer|40|Flying<br>Whenever an artifact enters the battlefield under your control, you may tap target permanent.|
45973|Somber Hoverguard|{5}{U}|Creature - Drone|3|2|Affinity for artifacts <i>(This spell costs {1} less to cast for each artifact you control.)</i><br>Flying|Mirrodin|Common|Adam Rex|51|Affinity for artifacts <i>(This spell costs {1} less to cast for each artifact you control.)</i><br>Flying|
45974|Neurok Spy|{2}{U}|Creature - Human Rogue|2|2|Neurok Spy is unblockable as long as defending player controls an artifact.|Mirrodin|Common|Daren Bader|44|Neurok Spy is unblockable as long as defending player controls an artifact.|
45978|Thirst for Knowledge|{2}{U}|Instant|||Draw three cards. Then discard two cards unless you discard an artifact card.|Mirrodin|Uncommon|Ben Thompson|53|Draw three cards. Then discard two cards unless you discard an artifact card.|
45985|Chimney Imp|{4}{B}|Creature - Imp|1|2|Flying<br>When Chimney Imp dies, target opponent puts a card from his or her hand on top of his or her library.|Mirrodin|Common|Christopher Moeller|59|Flying<br>When Chimney Imp dies, target opponent puts a card from his or her hand on top of his or her library.|
45990|Wrench Mind|{B}{B}|Sorcery|||Target player discards two cards unless he or she discards an artifact card.|Mirrodin|Common|Pete Venters|84|Target player discards two cards unless he or she discards an artifact card.|
45992|Krark-Clan Grunt|{2}{R}|Creature - Goblin Warrior|2|2|Sacrifice an artifact: Krark-Clan Grunt gets +1/+0 and gains first strike until end of turn.|Mirrodin|Common|Thomas M. Baxa|97|Sacrifice an artifact: Krark-Clan Grunt gets +1/+0 and gains first strike until end of turn.|
45993|Ogre Leadfoot|{4}{R}|Creature - Ogre|3|3|Whenever Ogre Leadfoot becomes blocked by an artifact creature, destroy that creature.|Mirrodin|Common|Heather Hudson|102|Whenever Ogre Leadfoot becomes blocked by an artifact creature, destroy that creature.|
45994|Krark-Clan Shaman|{R}|Creature - Goblin Shaman|1|1|Sacrifice an artifact: Krark-Clan Shaman deals 1 damage to each creature without flying.|Mirrodin|Common|Thomas M. Baxa|98|Sacrifice an artifact: Krark-Clan Shaman deals 1 damage to each creature without flying.|
46000|Molten Rain|{1}{R}{R}|Sorcery|||Destroy target land. If that land was nonbasic, Molten Rain deals 2 damage to the land's controller.|Mirrodin|Common|Hugh Jamieson|101|Destroy target land. If that land was nonbasic, Molten Rain deals 2 damage to the land's controller.|
46003|Tel-Jilad Chosen|{1}{G}|Creature - Elf Warrior|2|1|Protection from artifacts|Mirrodin|Common|Matthew D. Wilson|132|Protection from artifacts|
