ID|NAME|COST|TYPE|POWER|TOUGHNESS|ORACLE|SET|RARITY|ARTIST|COLLNUM|TEXT|PROPERTIES
284491|Island||Basic Land - Island|||U|Duel Decks: Venser vs. Koth|Land|Rob Alexander|41|U|
284490|Island||Basic Land - Island|||U|Duel Decks: Venser vs. Koth|Land|Jung Park|42|U|
284492|Island||Basic Land - Island|||U|Duel Decks: Venser vs. Koth|Land|Martina Pilcerova|43|U|
284494|Mountain||Basic Land - Mountain|||R|Duel Decks: Venser vs. Koth|Land|Tomasz Jedruszek|74|R|
284496|Mountain||Basic Land - Mountain|||R|Duel Decks: Venser vs. Koth|Land|Tomasz Jedruszek|75|R|
284493|Mountain||Basic Land - Mountain|||R|Duel Decks: Venser vs. Koth|Land|Martina Pilcerova|76|R|
284495|Mountain||Basic Land - Mountain|||R|Duel Decks: Venser vs. Koth|Land|Mark Tedin|77|R|
284497|Plains||Basic Land - Plains|||W|Duel Decks: Venser vs. Koth|Land|John Avon|38|W|
284499|Plains||Basic Land - Plains|||W|Duel Decks: Venser vs. Koth|Land|James Paick|39|W|
284498|Plains||Basic Land - Plains|||W|Duel Decks: Venser vs. Koth|Land|Martina Pilcerova|40|W|
279857|Greater Stone Spirit|{4}{R}{R}|Creature - Elemental Spirit|4|4|Greater Stone Spirit can't be blocked by creatures with flying.<br>{2}{R}: Until end of turn, target creature gets +0/+2 and gains "{R}: This creature gets +1/+0 until end of turn."|Duel Decks: Venser vs. Koth|Uncommon|||Greater Stone Spirit can't be blocked by creatures with flying.<br>{2}{R}: Until end of turn, target creature gets +0/+2 and gains "{R}: This creature gets +1/+0 until end of turn."|
270831|Vanish into Memory|{2}{W}{U}|Instant|||Exile target creature. You draw cards equal to that creature's power. At the beginning of your next upkeep, return that card to the battlefield under its owner's control. If you do, discard cards equal to its toughness.|Duel Decks: Venser vs. Koth|Uncommon|||Exile target creature. You draw cards equal to that creature's power. At the beginning of your next upkeep, return that card to the battlefield under its owner's control. If you do, discard cards equal to its toughness.|
284488|Revoke Existence|{1}{W}|Sorcery|||Exile target artifact or enchantment.|Duel Decks: Venser vs. Koth|Common|||Exile target artifact or enchantment.|
284489|Sunblast Angel|{4}{W}{W}|Creature - Angel|4|5|Flying<br>When Sunblast Angel enters the battlefield, destroy all tapped creatures.|Duel Decks: Venser vs. Koth|Rare|||Flying<br>When Sunblast Angel enters the battlefield, destroy all tapped creatures.|
270868|Neurok Invisimancer|{1}{U}{U}|Creature - Human Wizard|2|1|Neurok Invisimancer is unblockable.<br>When Neurok Invisimancer enters the battlefield, target creature is unblockable this turn.|Duel Decks: Venser vs. Koth|Common|||Neurok Invisimancer is unblockable.<br>When Neurok Invisimancer enters the battlefield, target creature is unblockable this turn.|
266362|Koth of the Hammer|{2}{R}{R}|Planeswalker - Koth||3|+1: Untap target Mountain. It becomes a 4/4 red Elemental creature until end of turn. It's still a land.<br>-2: Add {R} to your mana pool for each Mountain you control.<br>-5: You get an emblem with "Mountains you control have ‘{T}: This land deals 1 damage to target creature or player.'"|Duel Decks: Venser vs. Koth|Mythic Rare|||+1: Untap target Mountain. It becomes a 4/4 red Elemental creature until end of turn. It's still a land.<br>-2: Add {R} to your mana pool for each Mountain you control.<br>-5: You get an emblem with "Mountains you control have ‘{T}: This land deals 1 damage to target creature or player.'"|
266078|Venser, the Sojourner|{3}{W}{U}|Planeswalker - Venser||3|+2: Exile target permanent you own. Return it to the battlefield under your control at the beginning of the next end step.<br>-1: Creatures are unblockable this turn.<br>-8: You get an emblem with "Whenever you cast a spell, exile target permanent."|Duel Decks: Venser vs. Koth|Mythic Rare|||+2: Exile target permanent you own. Return it to the battlefield under your control at the beginning of the next end step.<br>-1: Creatures are unblockable this turn.<br>-8: You get an emblem with "Whenever you cast a spell, exile target permanent."|
270842|Clone|{3}{U}|Creature - Shapeshifter|0|0|You may have Clone enter the battlefield as a copy of any creature on the battlefield.|Duel Decks: Venser vs. Koth|Rare|||You may have Clone enter the battlefield as a copy of any creature on the battlefield.|
279856|Stone Giant|{2}{R}{R}|Creature - Giant|3|4|{T}: Target creature you control with toughness less than Stone Giant's power gains flying until end of turn. Destroy that creature at the beginning of the next end step.|Duel Decks: Venser vs. Koth|Uncommon|||{T}: Target creature you control with toughness less than Stone Giant's power gains flying until end of turn. Destroy that creature at the beginning of the next end step.|
270859|Whitemane Lion|{1}{W}|Creature - Cat|2|2|Flash <i>(You may cast this spell any time you could cast an instant.)</i><br>When Whitemane Lion enters the battlefield, return a creature you control to its owner's hand.|Duel Decks: Venser vs. Koth|Common|||Flash <i>(You may cast this spell any time you could cast an instant.)</i><br>When Whitemane Lion enters the battlefield, return a creature you control to its owner's hand.|
270857|Primal Plasma|{3}{U}|Creature - Elemental Shapeshifter|||As Primal Plasma enters the battlefield, it becomes your choice of a 3/3 creature, a 2/2 creature with flying, or a 1/6 creature with defender.|Duel Decks: Venser vs. Koth|Common|||As Primal Plasma enters the battlefield, it becomes your choice of a 3/3 creature, a 2/2 creature with flying, or a 1/6 creature with defender.|
270856|Æther Membrane|{1}{R}{R}|Creature - Wall|0|5|Defender; reach <i>(This creature can block creatures with flying.)</i><br>Whenever Æther Membrane blocks a creature, return that creature to its owner's hand at end of combat.|Duel Decks: Venser vs. Koth|Uncommon|||Defender; reach <i>(This creature can block creatures with flying.)</i><br>Whenever Æther Membrane blocks a creature, return that creature to its owner's hand at end of combat.|
270858|Torchling|{3}{R}{R}|Creature - Shapeshifter|3|3|{R}: Untap Torchling.<br>{R}: Target creature blocks Torchling this turn if able.<br>{R}: Change the target of target spell that targets only Torchling.<br>{1}: Torchling gets +1/-1 until end of turn.<br>{1}: Torchling gets -1/+1 until end of turn.|Duel Decks: Venser vs. Koth|Rare|||{R}: Untap Torchling.<br>{R}: Target creature blocks Torchling this turn if able.<br>{R}: Change the target of target spell that targets only Torchling.<br>{1}: Torchling gets +1/-1 until end of turn.<br>{1}: Torchling gets -1/+1 until end of turn.|
270833|Jaws of Stone|{5}{R}|Sorcery|||Jaws of Stone deals X damage divided as you choose among any number of target creatures and/or players, where X is the number of Mountains you control as you cast Jaws of Stone.|Duel Decks: Venser vs. Koth|Uncommon|||Jaws of Stone deals X damage divided as you choose among any number of target creatures and/or players, where X is the number of Mountains you control as you cast Jaws of Stone.|
282603|Mistmeadow Witch|{1}{W/U}|Creature - Kithkin Wizard|1|1|{2}{W}{U}: Exile target creature. Return that card to the battlefield under its owner's control at the beginning of the next end step.|Duel Decks: Venser vs. Koth|Uncommon|||{2}{W}{U}: Exile target creature. Return that card to the battlefield under its owner's control at the beginning of the next end step.|
270866|Steel of the Godhead|{2}{W/U}|Enchantment - Aura|||Enchant creature<br>As long as enchanted creature is white, it gets +1/+1 and has lifelink. <i>(Damage dealt by the creature also causes its controller to gain that much life.)</i><br>As long as enchanted creature is blue, it gets +1/+1 and is unblockable.|Duel Decks: Venser vs. Koth|Common|||Enchant creature<br>As long as enchanted creature is white, it gets +1/+1 and has lifelink. <i>(Damage dealt by the creature also causes its controller to gain that much life.)</i><br>As long as enchanted creature is blue, it gets +1/+1 and is unblockable.|
270855|Volley of Boulders|{8}{R}|Sorcery|||Volley of Boulders deals 6 damage divided as you choose among any number of target creatures and/or players.<br>Flashback {R}{R}{R}{R}{R}{R} <i>(You may cast this card from your graveyard for its flashback cost. Then exile it.)</i>|Duel Decks: Venser vs. Koth|Rare|||Volley of Boulders deals 6 damage divided as you choose among any number of target creatures and/or players.<br>Flashback {R}{R}{R}{R}{R}{R} <i>(You may cast this card from your graveyard for its flashback cost. Then exile it.)</i>|
270806|Vulshok Sorcerer|{1}{R}{R}|Creature - Human Shaman|1|1|Haste<br>{T}: Vulshok Sorcerer deals 1 damage to target creature or player.|Duel Decks: Venser vs. Koth|Common|||Haste<br>{T}: Vulshok Sorcerer deals 1 damage to target creature or player.|
270805|Bloodfire Colossus|{6}{R}{R}|Creature - Giant|6|6|{R}, Sacrifice Bloodfire Colossus: Bloodfire Colossus deals 6 damage to each creature and each player.|Duel Decks: Venser vs. Koth|Rare|||{R}, Sacrifice Bloodfire Colossus: Bloodfire Colossus deals 6 damage to each creature and each player.|
270810|Vulshok Morningstar|{2}|Artifact - Equipment|||Equipped creature gets +2/+2.<br>Equip {2} <i>({2}: Attach to target creature you control. Equip only as a sorcery.)</i>|Duel Decks: Venser vs. Koth|Uncommon|||Equipped creature gets +2/+2.<br>Equip {2} <i>({2}: Attach to target creature you control. Equip only as a sorcery.)</i>|
282600|Coral Fighters|{1}{U}|Creature - Merfolk Soldier|1|1|Whenever Coral Fighters attacks and isn't blocked, look at the top card of defending player's library. You may put that card on the bottom of that player's library.|Duel Decks: Venser vs. Koth|Uncommon|||Whenever Coral Fighters attacks and isn't blocked, look at the top card of defending player's library. You may put that card on the bottom of that player's library.|
270849|Flood Plain||Land|||Flood Plain enters the battlefield tapped.<br>{T}, Sacrifice Flood Plain: Search your library for a Plains or Island card and put it onto the battlefield. Then shuffle your library.|Duel Decks: Venser vs. Koth|Uncommon|||Flood Plain enters the battlefield tapped.<br>{T}, Sacrifice Flood Plain: Search your library for a Plains or Island card and put it onto the battlefield. Then shuffle your library.|
