ID|NAME|COST|TYPE|POWER|TOUGHNESS|ORACLE|SET|RARITY|ARTIST|COLLNUM|TEXT|PROPERTIES
435438|Forest||Basic Land - Forest|||G|Ixalan|Land|Titus Lunter|277|G|
435426|Island||Basic Land - Island|||U|Ixalan|Land|Titus Lunter|265|U|
435434|Mountain||Basic Land - Mountain|||R|Ixalan|Land|Titus Lunter|273|R|
435422|Plains||Basic Land - Plains|||W|Ixalan|Land|Titus Lunter|261|W|
435430|Swamp||Basic Land - Swamp|||B|Ixalan|Land|Titus Lunter|269|B|
435152|Adanto Vanguard|{1}{W}|Creature - Vampire Soldier|1|1|As long as Adanto Vanguard is attacking, it gets +2/+0.<br>Pay 4 life: Adanto Vanguard gains indestructible until end of turn. <i>(Damage and effects that say "destroy" don't destroy it.)</i>|Ixalan|Uncommon|Anna Steinbauer|1|As long as Adanto Vanguard is attacking, it gets +2/+0.<br>Pay 4 life: Adanto Vanguard gains indestructible until end of turn. <i>(Damage and effects that say "destroy" don't destroy it.)</i>|
435174|Adanto, the First Fort||Legendary Land|||<i>(Transforms from Legion's Landing.)</i><br>{T}: Add {W} to your mana pool.<br>{2}{W}, {T}: Create a 1/1 white Vampire creature token with lifelink.|Ixalan|Rare|Svetlin Velinov|22|<i>(Transforms from Legion's Landing.)</i><br>{T}: Add {W} to your mana pool.<br>{2}{W}, {T}: Create a 1/1 white Vampire creature token with lifelink.|
435373|Admiral Beckett Brass|{1}{U}{B}{R}|Legendary Creature - Human Pirate|3|3|Other Pirates you control get +1/+1.<br>At the beginning of your end step, gain control of target nonland permanent controlled by a player who was dealt combat damage by three or more Pirates this turn.|Ixalan|Mythic Rare|Jason Rainville|217|Other Pirates you control get +1/+1.<br>At the beginning of your end step, gain control of target nonland permanent controlled by a player who was dealt combat damage by three or more Pirates this turn.|
435197|Air Elemental|{3}{U}{U}|Creature - Elemental|4|4|Flying|Ixalan|Uncommon|Tomasz Jedruszek|45|Flying|
435330|Ancient Brontodon|{6}{G}{G}|Creature - Dinosaur|9|9||Ixalan|Common|Jakub Kasper|175||
435286|Angrath's Marauders|{5}{R}{R}|Creature - Human Pirate|4|4|If a source you control would deal damage to a permanent or player, it deals double that damage to that permanent or player instead.|Ixalan|Rare|Victor Adame Minguez|132|If a source you control would deal damage to a permanent or player, it deals double that damage to that permanent or player instead.|
435242|Anointed Deacon|{4}{B}|Creature - Vampire Cleric|3|3|At the beginning of combat on your turn, you may have target Vampire get +2/+0 until end of turn.|Ixalan|Common|Winona Nelson|89|At the beginning of combat on your turn, you may have target Vampire get +2/+0 until end of turn.|
435198|Arcane Adaptation|{2}{U}|Enchantment|||As Arcane Adaptation enters the battlefield, choose a creature type.<br>Creatures you control are the chosen type in addition to their other types. The same is true for creature spells you control and creature cards you own that aren't on the battlefield.|Ixalan|Rare|Mark Behm|46|As Arcane Adaptation enters the battlefield, choose a creature type.<br>Creatures you control are the chosen type in addition to their other types. The same is true for creature spells you control and creature cards you own that aren't on the battlefield.|
435243|Arguel's Blood Fast|{1}{B}|Legendary Enchantment|||{1}{B}, Pay 2 life: Draw a card.<br>At the beginning of your upkeep, if you have 5 or less life, you may transform Arguel's Blood Fast.|Ixalan|Rare|Daarken|90|{1}{B}, Pay 2 life: Draw a card.<br>At the beginning of your upkeep, if you have 5 or less life, you may transform Arguel's Blood Fast.|
435153|Ashes of the Abhorrent|{1}{W}|Enchantment|||Players can't cast spells from graveyards or activate abilities of cards in graveyards.<br>Whenever a creature dies, you gain 1 life.|Ixalan|Rare|Daarken|2|Players can't cast spells from graveyards or activate abilities of cards in graveyards.<br>Whenever a creature dies, you gain 1 life.|
435331|Atzocan Archer|{2}{G}|Creature - Human Archer|1|4|Reach<br>When Atzocan Archer enters the battlefield, you may have it fight another target creature. <i>(Each deals damage equal to its power to the other.)</i>|Ixalan|Uncommon|Naomi Baker|176|Reach<br>When Atzocan Archer enters the battlefield, you may have it fight another target creature. <i>(Each deals damage equal to its power to the other.)</i>|
435154|Axis of Mortality|{4}{W}{W}|Enchantment|||At the beginning of your upkeep, you may have two target players exchange life totals.|Ixalan|Mythic Rare|Bastien L. Deharme|3|At the beginning of your upkeep, you may have two target players exchange life totals.|
435227|Azcanta, the Sunken Ruin||Legendary Land|||<i>(Transforms from Search for Azcanta.)</i><br>{T}: Add {U} to your mana pool.<br>{2}{U}, {T}: Look at the top four cards of your library. You may reveal a noncreature, nonland card from among them and put it into your hand. Put the rest on the bottom of your library in any order.|Ixalan|Rare|Magali Villeneuve|74|<i>(Transforms from Search for Azcanta.)</i><br>{T}: Add {U} to your mana pool.<br>{2}{U}, {T}: Look at the top four cards of your library. You may reveal a noncreature, nonland card from among them and put it into your hand. Put the rest on the bottom of your library in any order.|
435374|Belligerent Brontodon|{5}{G}{W}|Creature - Dinosaur|4|6|Each creature you control assigns combat damage equal to its toughness rather than its power.|Ixalan|Uncommon|Dan Scott|218|Each creature you control assigns combat damage equal to its toughness rather than its power.|
435155|Bellowing Aegisaur|{5}{W}|Creature - Dinosaur|3|5|Enrage- Whenever Bellowing Aegisaur is dealt damage, put a +1/+1 counter on each other creature you control.|Ixalan|Uncommon|Craig J Spearing|4|Enrage- Whenever Bellowing Aegisaur is dealt damage, put a +1/+1 counter on each other creature you control.|
435156|Bishop of Rebirth|{3}{W}{W}|Creature - Vampire Cleric|3|4|Vigilance<br>Whenever Bishop of Rebirth attacks, you may return target creature card with converted mana cost 3 or less from your graveyard to the battlefield.|Ixalan|Rare|Tommy Arnold|5|Vigilance<br>Whenever Bishop of Rebirth attacks, you may return target creature card with converted mana cost 3 or less from your graveyard to the battlefield.|
435245|Bishop of the Bloodstained|{3}{B}{B}|Creature - Vampire Cleric|3|3|When Bishop of the Bloodstained enters the battlefield, target opponent loses 1 life for each Vampire you control.|Ixalan|Uncommon|Yongjae Choi|91|When Bishop of the Bloodstained enters the battlefield, target opponent loses 1 life for each Vampire you control.|
435157|Bishop's Soldier|{1}{W}|Creature - Vampire Soldier|2|2|Lifelink|Ixalan|Common|Scott Murphy|6|Lifelink|
435246|Blight Keeper|{B}|Creature - Bat Imp|1|1|Flying<br>{7}{B}, {T}, Sacrifice Blight Keeper: Target opponent loses 4 life and you gain 4 life.|Ixalan|Common|Ben Wootten|92|Flying<br>{7}{B}, {T}, Sacrifice Blight Keeper: Target opponent loses 4 life and you gain 4 life.|
435332|Blinding Fog|{2}{G}|Instant|||Prevent all damage that would be dealt to creatures this turn. Creatures you control gain hexproof until end of turn. <i>(They can't be the targets of spells or abilities your opponents control.)</i>|Ixalan|Common|Igor Kieryluk|177|Prevent all damage that would be dealt to creatures this turn. Creatures you control gain hexproof until end of turn. <i>(They can't be the targets of spells or abilities your opponents control.)</i>|
