ID|NAME|COST|TYPE|POWER|TOUGHNESS|ORACLE|SET|RARITY|ARTIST|COLLNUM|TEXT|PROPERTIES
10670|Arcane Spyglass|{4}|Artifact|||{2}, {T}, Sacrifice a land: Draw a card and put a charge counter on Arcane Spyglass.<br>Remove three charge counters from Arcane Spyglass: Draw a card.|Darksteel|Common|Trevor Hairsine|93|{2}, {T}, Sacrifice a land: Draw a card and put a charge counter on Arcane Spyglass.<br>Remove three charge counters from Arcane Spyglass: Draw a card.|
15190|Viridian Acolyte|{G}|Creature - Elf Shaman|1|1|{1}, {T}: Add one mana of any color to your mana pool.|Darksteel|Common|D. Alexander Gregory|89|{1}, {T}: Add one mana of any color to your mana pool.|
21293|Tears of Rage|{2}{R}{R}|Instant|||Cast Tears of Rage only during the declare attackers step.<br>Attacking creatures you control get +X/+0 until end of turn, where X is the number of attacking creatures. Sacrifice those creatures at the beginning of the next end step.|Darksteel|Uncommon|Pete Venters|70|Cast Tears of Rage only during the declare attackers step.<br>Attacking creatures you control get +X/+0 until end of turn, where X is the number of attacking creatures. Sacrifice those creatures at the beginning of the next end step.|
26732|Spawning Pit|{2}|Artifact|||Sacrifice a creature: Put a charge counter on Spawning Pit.<br>{1}, Remove two charge counters from Spawning Pit: Put a 2/2 colorless Spawn artifact creature token onto the battlefield.|Darksteel|Uncommon|Tony Szczudlo|141|Sacrifice a creature: Put a charge counter on Spawning Pit.<br>{1}, Remove two charge counters from Spawning Pit: Put a 2/2 colorless Spawn artifact creature token onto the battlefield.|
29513|Hallow|{W}|Instant|||Prevent all damage target spell would deal this turn. You gain life equal to the damage prevented this way.|Darksteel|Common|Alex Horley-Orlandelli|4|Prevent all damage target spell would deal this turn. You gain life equal to the damage prevented this way.|
34479|Purge|{1}{W}|Instant|||Destroy target artifact creature or black creature. It can't be regenerated.|Darksteel|Uncommon|Pete Venters|12|Destroy target artifact creature or black creature. It can't be regenerated.|
39377|Murderous Spoils|{5}{B}|Instant|||Destroy target nonblack creature. It can't be regenerated. You gain control of all Equipment that was attached to it. <i>(This effect lasts indefinitely.)</i>|Darksteel|Uncommon|Adam Rex|48|Destroy target nonblack creature. It can't be regenerated. You gain control of all Equipment that was attached to it. <i>(This effect lasts indefinitely.)</i>|
39410|Pulse of the Forge|{1}{R}{R}|Instant|||Pulse of the Forge deals 4 damage to target player. Then if that player has more life than you, return Pulse of the Forge to its owner's hand.|Darksteel|Rare|Paolo Parente|66|Pulse of the Forge deals 4 damage to target player. Then if that player has more life than you, return Pulse of the Forge to its owner's hand.|
39421|Mirrodin's Core||Land|||{T}: Add {1} to your mana pool.<br>{T}: Put a charge counter on Mirrodin's Core.<br>{T}, Remove a charge counter from Mirrodin's Core: Add one mana of any color to your mana pool.|Darksteel|Uncommon|Greg Staples|165|{T}: Add {1} to your mana pool.<br>{T}: Put a charge counter on Mirrodin's Core.<br>{T}, Remove a charge counter from Mirrodin's Core: Add one mana of any color to your mana pool.|
39439|Blinkmoth Nexus||Land|||{T}: Add {1} to your mana pool.<br>{1}: Blinkmoth Nexus becomes a 1/1 Blinkmoth artifact creature with flying until end of turn. It's still a land.<br>{1}, {T}: Target Blinkmoth creature gets +1/+1 until end of turn.|Darksteel|Rare|Brian Snoddy|163|{T}: Add {1} to your mana pool.<br>{1}: Blinkmoth Nexus becomes a 1/1 Blinkmoth artifact creature with flying until end of turn. It's still a land.<br>{1}, {T}: Target Blinkmoth creature gets +1/+1 until end of turn.|
39478|Karstoderm|{2}{G}{G}|Creature - Beast|0|0|Karstoderm enters the battlefield with five +1/+1 counters on it.<br>Whenever an artifact enters the battlefield, remove a +1/+1 counter from Karstoderm.|Darksteel|Uncommon|Tony Szczudlo|77|Karstoderm enters the battlefield with five +1/+1 counters on it.<br>Whenever an artifact enters the battlefield, remove a +1/+1 counter from Karstoderm.|
39485|Darksteel Pendant|{2}|Artifact|||Darksteel Pendant is indestructible. <i>("Destroy" effects and lethal damage don't destroy it.)</i><br>{1}, {T}: Look at the top card of your library. You may put that card on the bottom of your library.|Darksteel|Common|Terese Nielsen|113|Darksteel Pendant is indestructible. <i>("Destroy" effects and lethal damage don't destroy it.)</i><br>{1}, {T}: Look at the top card of your library. You may put that card on the bottom of your library.|
