ID|NAME|COST|TYPE|POWER|TOUGHNESS|ORACLE|SET|RARITY|ARTIST|COLLNUM|TEXT|PROPERTIES
368527|Absorb Vis|{6}{B}|Sorcery|||Target player loses 4 life and you gain 4 life.<br>Basic landcycling {1}{B} <i>({1}{B}, Discard this card: Search your library for a basic land card, reveal it, and put it into your hand. Then shuffle your library.)</i>|Duel Decks: Sorin vs. Tibalt|Common|Brandon Kitkouski|31|Target player loses 4 life and you gain 4 life.<br>Basic landcycling {1}{B} <i>({1}{B}, Discard this card: Search your library for a basic land card, reveal it, and put it into your hand. Then shuffle your library.)</i>|
368523|Akoum Refuge||Land|||Akoum Refuge enters the battlefield tapped.<br>When Akoum Refuge enters the battlefield, you gain 1 life.<br>{T}: Add {B} or {R} to your mana pool.|Duel Decks: Sorin vs. Tibalt|Uncommon|Fred Fields|73|Akoum Refuge enters the battlefield tapped.<br>When Akoum Refuge enters the battlefield, you gain 1 life.<br>{T}: Add {B} or {R} to your mana pool.|
368540|Ancient Craving|{3}{B}|Sorcery|||You draw three cards and you lose 3 life.|Duel Decks: Sorin vs. Tibalt|Rare|Rob Alexander|28|You draw three cards and you lose 3 life.|
368476|Ashmouth Hound|{1}{R}|Creature - Elemental Hound|2|1|Whenever Ashmouth Hound blocks or becomes blocked by a creature, Ashmouth Hound deals 1 damage to that creature.|Duel Decks: Sorin vs. Tibalt|Common|Daarken|45|Whenever Ashmouth Hound blocks or becomes blocked by a creature, Ashmouth Hound deals 1 damage to that creature.|
368507|Blazing Salvo|{R}|Instant|||Blazing Salvo deals 3 damage to target creature unless that creature's controller has Blazing Salvo deal 5 damage to him or her.|Duel Decks: Sorin vs. Tibalt|Common|rk post|58|Blazing Salvo deals 3 damage to target creature unless that creature's controller has Blazing Salvo deal 5 damage to him or her.|
368483|Blightning|{1}{B}{R}|Sorcery|||Blightning deals 3 damage to target player. That player discards two cards.|Duel Decks: Sorin vs. Tibalt|Common|Dan Scott|69|Blightning deals 3 damage to target player. That player discards two cards.|
368543|Bloodrage Vampire|{2}{B}|Creature - Vampire|3|1|Bloodthirst 1 <i>(If an opponent was dealt damage this turn, this creature enters the battlefield with a +1/+1 counter on it.)</i>|Duel Decks: Sorin vs. Tibalt|Common|Steve Prescott|10|Bloodthirst 1 <i>(If an opponent was dealt damage this turn, this creature enters the battlefield with a +1/+1 counter on it.)</i>|
368486|Breaking Point|{1}{R}{R}|Sorcery|||Any player may have Breaking Point deal 6 damage to him or her. If no one does, destroy all creatures. Creatures destroyed this way can't be regenerated.|Duel Decks: Sorin vs. Tibalt|Rare|Matthew D. Wilson|67|Any player may have Breaking Point deal 6 damage to him or her. If no one does, destroy all creatures. Creatures destroyed this way can't be regenerated.|
368528|Browbeat|{2}{R}|Sorcery|||Any player may have Browbeat deal 5 damage to him or her. If no one does, target player draws three cards.|Duel Decks: Sorin vs. Tibalt|Uncommon|Chris Rahn|66|Any player may have Browbeat deal 5 damage to him or her. If no one does, target player draws three cards.|
368490|Bump in the Night|{B}|Sorcery|||Target opponent loses 3 life.<br>Flashback {5}{R} <i>(You may cast this card from your graveyard for its flashback cost. Then exile it.)</i>|Duel Decks: Sorin vs. Tibalt|Common|Kev Walker|57|Target opponent loses 3 life.<br>Flashback {5}{R} <i>(You may cast this card from your graveyard for its flashback cost. Then exile it.)</i>|
