ID|NAME|COST|TYPE|POWER|TOUGHNESS|ORACLE|SET|RARITY|ARTIST|COLLNUM|TEXT|PROPERTIES
398570|Forest||Basic Land - Forest|||G|Magic Origins|Land|Jonas De Ro|270|G|
398586|Island||Basic Land - Island|||U|Magic Origins|Land|Jung Park|258|U|
398510|Mountain||Basic Land - Mountain|||R|Magic Origins|Land|Noah Bradley|266|R|
398675|Plains||Basic Land - Plains|||W|Magic Origins|Land|Michael Komarck|254|W|
398555|Swamp||Basic Land - Swamp|||B|Magic Origins|Land|Dan Frazier|262|B|
398411|Abbot of Keral Keep|{1}{R}|Creature - Human Monk|2|1|Prowess <i>(Whenever you cast a noncreature spell, this creature gets +1/+1 until end of turn.)</i><br>When Abbot of Keral Keep enters the battlefield, exile the top card of your library. Until end of turn, you may play that card.|Magic Origins|Rare|Deruchenko Alexander|127|Prowess <i>(Whenever you cast a noncreature spell, this creature gets +1/+1 until end of turn.)</i><br>When Abbot of Keral Keep enters the battlefield, exile the top card of your library. Until end of turn, you may play that card.|
398574|Acolyte of the Inferno|{2}{R}|Creature - Human Monk|3|1|Renown 1 <i>(When this creature deals combat damage to a player, if it isn't renowned, put a +1/+1 counter on it and it becomes renowned.)</i><br>Whenever Acolyte of the Inferno becomes blocked by a creature, it deals 2 damage to that creature.|Magic Origins|Uncommon|Joseph Meehan|128|Renown 1 <i>(When this creature deals combat damage to a player, if it isn't renowned, put a +1/+1 counter on it and it becomes renowned.)</i><br>Whenever Acolyte of the Inferno becomes blocked by a creature, it deals 2 damage to that creature.|
398578|Act of Treason|{2}{R}|Sorcery|||Gain control of target creature until end of turn. Untap that creature. It gains haste until end of turn. <i>(It can attack and {T} this turn.)</i>|Magic Origins|Common|Eric Deschamps|129|Gain control of target creature until end of turn. Untap that creature. It gains haste until end of turn. <i>(It can attack and {T} this turn.)</i>|
401452|Aegis Angel|{4}{W}{W}|Creature - Angel|5|5|Flying <i>(This creature can't be blocked except by creatures with flying or reach.)</i><br>When Aegis Angel enters the battlefield, another target permanent gains indestructible for as long as you control Aegis Angel. <i>(Effects that say "destroy" don't destroy it. A creature with indestructible can't be destroyed by damage.)</i>|Magic Origins|Rare|Aleksi Briclot|273|Flying <i>(This creature can't be blocked except by creatures with flying or reach.)</i><br>When Aegis Angel enters the battlefield, another target permanent gains indestructible for as long as you control Aegis Angel. <i>(Effects that say "destroy" don't destroy it. A creature with indestructible can't be destroyed by damage.)</i>|
398565|Aerial Volley|{G}|Instant|||Aerial Volley deals 3 damage divided as you choose among one, two, or three target creatures with flying.|Magic Origins|Common|Lake Hurwitz|168|Aerial Volley deals 3 damage divided as you choose among one, two, or three target creatures with flying.|
398656|Akroan Jailer|{W}|Creature - Human Soldier|1|1|{2}{W}, {T}: Tap target creature.|Magic Origins|Common|Anastasia Ovchinnikova|1|{2}{W}, {T}: Tap target creature.|
398604|Akroan Sergeant|{2}{R}|Creature - Human Soldier|2|2|First strike <i>(This creature deals combat damage before creatures without first strike.)</i><br>Renown 1 <i>(When this creature deals combat damage to a player, if it isn't renowned, put a +1/+1 counter on it and it becomes renowned.)</i>|Magic Origins|Common|Zack Stella|130|First strike <i>(This creature deals combat damage before creatures without first strike.)</i><br>Renown 1 <i>(When this creature deals combat damage to a player, if it isn't renowned, put a +1/+1 counter on it and it becomes renowned.)</i>|
