ID|NAME|COST|TYPE|POWER|TOUGHNESS|ORACLE|SET|RARITY|ARTIST|COLLNUM|TEXT|PROPERTIES
410064|Forest||Basic Land - Forest|||G|Shadows over Innistrad|Land|Jonas De Ro|295|G|
410055|Island||Basic Land - Island|||U|Shadows over Innistrad|Land|Jonas De Ro|286|U|
410061|Mountain||Basic Land - Mountain|||R|Shadows over Innistrad|Land|Jonas De Ro|292|R|
410052|Plains||Basic Land - Plains|||W|Shadows over Innistrad|Land|Jonas De Ro|283|W|
410058|Swamp||Basic Land - Swamp|||B|Shadows over Innistrad|Land|Jonas De Ro|289|B|
409790|Aberrant Researcher|{3}{U}|Creature - Human Insect|3|2|Flying<br>At the beginning of your upkeep, put the top card of your library into your graveyard. If it's an instant or sorcery card, transform Aberrant Researcher.|Shadows over Innistrad|Uncommon|Nils Hamm|49|Flying<br>At the beginning of your upkeep, put the top card of your library into your graveyard. If it's an instant or sorcery card, transform Aberrant Researcher.|
409843|Accursed Witch|{3}{B}|Creature - Human Shaman|4|2|Spells your opponents cast that target Accursed Witch cost {1} less to cast.<br>When Accursed Witch dies, return it to the battlefield transformed under your control attached to target opponent.|Shadows over Innistrad|Uncommon|Wesley Burt|97|Spells your opponents cast that target Accursed Witch cost {1} less to cast.<br>When Accursed Witch dies, return it to the battlefield transformed under your control attached to target opponent.|
409950|Aim High|{1}{G}|Instant|||Untap target creature. It gets +2/+2 and gains reach until end of turn. <i>(It can block creatures with flying.)</i>|Shadows over Innistrad|Common|Steve Prescott|193|Untap target creature. It gets +2/+2 and gains reach until end of turn. <i>(It can block creatures with flying.)</i>|
409845|Alms of the Vein|{2}{B}|Sorcery|||Target opponent loses 3 life and you gain 3 life. <br>Madness {B} <i>(If you discard this card, discard it into exile. When you do, cast it for its madness cost or put it into your graveyard.)</i>|Shadows over Innistrad|Common|David Gaillet|98|Target opponent loses 3 life and you gain 3 life. <br>Madness {B} <i>(If you discard this card, discard it into exile. When you do, cast it for its madness cost or put it into your graveyard.)</i>|
410005|Altered Ego|{X}{2}{G}{U}|Creature - Shapeshifter|0|0|Altered Ego can't be countered.<br>You may have Altered Ego enter the battlefield as a copy of any creature on the battlefield, except it enters with X additional +1/+1 counters on it.|Shadows over Innistrad|Rare|Kev Walker|241|Altered Ego can't be countered.<br>You may have Altered Ego enter the battlefield as a copy of any creature on the battlefield, except it enters with X additional +1/+1 counters on it.|
409737|Always Watching|{1}{W}{W}|Enchantment|||Nontoken creatures you control get +1/+1 and have vigilance.|Shadows over Innistrad|Rare|Chase Stone|1|Nontoken creatures you control get +1/+1 and have vigilance.|
409952|Ancient of the Equinox||Creature - Treefolk|4|4|Trample, hexproof|Shadows over Innistrad|Uncommon|Jaime Jones|194|Trample, hexproof|
409738|Angel of Deliverance|{6}{W}{W}|Creature - Angel|6|6|Flying<br>Delirium- Whenever Angel of Deliverance deals damage, if there are four or more card types among cards in your graveyard, exile target creature an opponent controls.|Shadows over Innistrad|Rare|Joseph Meehan|2|Flying<br>Delirium- Whenever Angel of Deliverance deals damage, if there are four or more card types among cards in your graveyard, exile target creature an opponent controls.|
409739|Angelic Purge|{2}{W}|Sorcery|||As an additional cost to cast Angelic Purge, sacrifice a permanent.<br>Exile target artifact, creature, or enchantment.|Shadows over Innistrad|Common|Zezhou Chen|3|As an additional cost to cast Angelic Purge, sacrifice a permanent.<br>Exile target artifact, creature, or enchantment.|
410006|Anguished Unmaking|{1}{W}{B}|Instant|||Exile target nonland permanent. You lose 3 life.|Shadows over Innistrad|Rare|Wesley Burt|242|Exile target nonland permanent. You lose 3 life.|
409740|Apothecary Geist|{3}{W}|Creature - Spirit|2|3|Flying<br>When Apothecary Geist enters the battlefield, if you control another Spirit, you gain 3 life.|Shadows over Innistrad|Common|Franz Vohwinkel|4|Flying<br>When Apothecary Geist enters the battlefield, if you control another Spirit, you gain 3 life.|
409741|Archangel Avacyn|{3}{W}{W}|Legendary Creature - Angel|4|4|Flash<br>Flying, vigilance<br>When Archangel Avacyn enters the battlefield, creatures you control gain indestructible until end of turn.<br>When a non-Angel creature you control dies, transform Archangel Avacyn at the beginning of the next upkeep.|Shadows over Innistrad|Mythic Rare|James Ryman|5|Flash<br>Flying, vigilance<br>When Archangel Avacyn enters the battlefield, creatures you control gain indestructible until end of turn.<br>When a non-Angel creature you control dies, transform Archangel Avacyn at the beginning of the next upkeep.|
410007|Arlinn Kord|{2}{R}{G}|Planeswalker - Arlinn||3|+1: Until end of turn, up to one target creature gets +2/+2 and gains vigilance and haste.<br>0: Put a 2/2 green Wolf creature token onto the battlefield. Transform Arlinn Kord.|Shadows over Innistrad|Mythic Rare|Winona Nelson|243|+1: Until end of turn, up to one target creature gets +2/+2 and gains vigilance and haste.<br>0: Put a 2/2 green Wolf creature token onto the battlefield. Transform Arlinn Kord.|
410008|Arlinn, Embraced by the Moon||Planeswalker - Arlinn|||+1: Creatures you control get +1/+1 and gain trample until end of turn.<br>−1: Arlinn, Embraced by the Moon deals 3 damage to target creature or player. Transform Arlinn, Embraced by the Moon.<br>−6: You get an emblem with "Creatures you control have haste and ‘{T}: This creature deals damage equal to its power to target creature or player.'"|Shadows over Innistrad|Mythic Rare|Winona Nelson|243|+1: Creatures you control get +1/+1 and gain trample until end of turn.<br>−1: Arlinn, Embraced by the Moon deals 3 damage to target creature or player. Transform Arlinn, Embraced by the Moon.<br>−6: You get an emblem with "Creatures you control have haste and ‘{T}: This creature deals damage equal to its power to target creature or player.'"|
410027|Ashmouth Blade||Artifact - Equipment|||Equipped creature gets +3/+3 and has first strike.<br>Equip {3}|Shadows over Innistrad|Uncommon|Volkan Baga|260|Equipped creature gets +3/+3 and has first strike.<br>Equip {3}|
409846|Asylum Visitor|{1}{B}|Creature - Vampire Wizard|3|1|At the beginning of each player's upkeep, if that player has no cards in hand, you draw a card and you lose 1 life.<br>Madness {1}{B} <i>(If you discard this card, discard it into exile. When you do, cast it for its madness cost or put it into your graveyard.)</i>|Shadows over Innistrad|Rare|Bastien L. Deharme|99|At the beginning of each player's upkeep, if that player has no cards in hand, you draw a card and you lose 1 life.<br>Madness {1}{B} <i>(If you discard this card, discard it into exile. When you do, cast it for its madness cost or put it into your graveyard.)</i>|
409951|Autumnal Gloom|{2}{G}|Enchantment|||{B}: Put the top card of your library into your graveyard.<br>Delirium- At the beginning of your end step, if there are four or more card types among cards in your graveyard, transform Autumnal Gloom.|Shadows over Innistrad|Uncommon|Jaime Jones|194|{B}: Put the top card of your library into your graveyard.<br>Delirium- At the beginning of your end step, if there are four or more card types among cards in your graveyard, transform Autumnal Gloom.|
409742|Avacyn, the Purifier||Legendary Creature - Angel|6|5|Flying<br>When this creature transforms into Avacyn, the Purifier, it deals 3 damage to each other creature and each opponent.|Shadows over Innistrad|Mythic Rare|James Ryman|5|Flying<br>When this creature transforms into Avacyn, the Purifier, it deals 3 damage to each other creature and each opponent.|
409743|Avacynian Missionaries|{3}{W}|Creature - Human Cleric|3|3|At the beginning of your end step, if Avacynian Missionaries is equipped, transform it.|Shadows over Innistrad|Uncommon|Wayne Reynolds|6|At the beginning of your end step, if Avacynian Missionaries is equipped, transform it.|
