ID|NAME|COST|TYPE|POWER|TOUGHNESS|ORACLE|SET|RARITY|ARTIST|COLLNUM|TEXT|PROPERTIES
433239|Forest||Basic Land - Forest|||G|Commander 2017|Land|Rebecca Guay|307|G|
433230|Island||Basic Land - Island|||U|Commander 2017|Land|Rebecca Guay|298|U|
433236|Mountain||Basic Land - Mountain|||R|Commander 2017|Land|Rebecca Guay|304|R|
433227|Plains||Basic Land - Plains|||W|Commander 2017|Land|Rebecca Guay|295|W|
433233|Swamp||Basic Land - Swamp|||B|Commander 2017|Land|Rebecca Guay|301|B|
433077|Abundance|{2}{G}{G}|Enchantment|||If you would draw a card, you may instead choose land or nonland and reveal cards from the top of your library until you reveal a card of the chosen kind. Put that card into your hand and put all other cards revealed this way on the bottom of your library in any order.|Commander 2017|Rare|Rebecca Guay|145|If you would draw a card, you may instead choose land or nonland and reveal cards from the top of your library until you reveal a card of the chosen kind. Put that card into your hand and put all other cards revealed this way on the bottom of your library in any order.|
433165|Akoum Refuge||Land|||Akoum Refuge enters the battlefield tapped.<br>When Akoum Refuge enters the battlefield, you gain 1 life.<br>{T}: Add {B} or {R} to your mana pool.|Commander 2017|Uncommon|Fred Fields|233|Akoum Refuge enters the battlefield tapped.<br>When Akoum Refuge enters the battlefield, you gain 1 life.<br>{T}: Add {B} or {R} to your mana pool.|
433242|Alms Collector|{3}{W}|Creature - Cat Cleric|3|4|Flash<br>If an opponent would draw two or more cards, instead you and that player each draw a card.|Commander 2017|Rare|Bram Sels|1|Flash<br>If an opponent would draw two or more cards, instead you and that player each draw a card.|
433027|Ambition's Cost|{3}{B}|Sorcery|||You draw three cards and you lose 3 life.|Commander 2017|Uncommon|Zezhou Chen|95|You draw three cards and you lose 3 life.|
433028|Anowon, the Ruin Sage|{3}{B}{B}|Legendary Creature - Vampire Shaman|4|3|At the beginning of your upkeep, each player sacrifices a non-Vampire creature.|Commander 2017|Rare|Dan Scott|96|At the beginning of your upkeep, each player sacrifices a non-Vampire creature.|
433029|Apprentice Necromancer|{1}{B}|Creature - Zombie Wizard|1|1|{B}, {T}, Sacrifice Apprentice Necromancer: Return target creature card from your graveyard to the battlefield. That creature gains haste. At the beginning of the next end step, sacrifice it.|Commander 2017|Rare|Randy Vargas|97|{B}, {T}, Sacrifice Apprentice Necromancer: Return target creature card from your graveyard to the battlefield. That creature gains haste. At the beginning of the next end step, sacrifice it.|
433276|Arahbo, Roar of the World|{3}{G}{W}|Legendary Creature - Cat Avatar|5|5|Eminence- At the beginning of combat on your turn, if Arahbo, Roar of the World is in the command zone or on the battlefield, another target Cat you control gets +3/+3 until end of turn.<br>Whenever another Cat you control attacks, you may pay {1}{G}{W}. If you do, it gains trample and gets +X/+X until end of turn, where X is its power.|Commander 2017|Mythic Rare|Jesper Ejsing|35|Eminence- At the beginning of combat on your turn, if Arahbo, Roar of the World is in the command zone or on the battlefield, another target Cat you control gets +3/+3 until end of turn.<br>Whenever another Cat you control attacks, you may pay {1}{G}{W}. If you do, it gains trample and gets +X/+X until end of turn, where X is its power.|
