ID|NAME|COST|TYPE|POWER|TOUGHNESS|ORACLE|SET|RARITY|ARTIST|COLLNUM|TEXT|PROPERTIES
12691|Radiant Kavu|{R}{G}{W}|Creature - Kavu|3|3|{R}{G}{W}: Prevent all combat damage blue creatures and black creatures would deal this turn.|Planeshift|Rare|Ron Spencer|120|{R}{G}{W}: Prevent all combat damage blue creatures and black creatures would deal this turn.|
15144|Dralnu's Pet|{1}{U}{U}|Creature - Shapeshifter|2|2|Kicker—{2}{B}, Discard a creature card. <i>(You may pay {2}{B} and discard a creature card in addition to any other costs as you cast this spell.)</i><br>If Dralnu's Pet was kicked, it enters the battlefield with flying and with X +1/+1 counters on it, where X is the discarded card's converted mana cost.|Planeshift|Rare|Glen Angus|23|Kicker—{2}{B}, Discard a creature card. <i>(You may pay {2}{B} and discard a creature card in addition to any other costs as you cast this spell.)</i><br>If Dralnu's Pet was kicked, it enters the battlefield with flying and with X +1/+1 counters on it, where X is the discarded card's converted mana cost.|
19141|Guard Dogs|{3}{W}|Creature - Hound|2|2|{2}{W}, {T}: Choose a permanent you control. Prevent all combat damage target creature would deal this turn if it shares a color with that permanent.|Planeshift|Uncommon|Mike Raabe|5|{2}{W}, {T}: Choose a permanent you control. Prevent all combat damage target creature would deal this turn if it shares a color with that permanent.|
19149|Ancient Spider|{2}{G}{W}|Creature - Spider|2|5|First strike; reach <i>(This creature can block creatures with flying.)</i>|Planeshift|Rare|Greg Staples|96|First strike; reach <i>(This creature can block creatures with flying.)</i>|
19358|Keldon Mantle|{1}{R}|Enchantment - Aura|||Enchant creature<br>{B}: Regenerate enchanted creature.<br>{R}: Enchanted creature gets +1/+0 until end of turn.<br>{G}: Enchanted creature gains trample until end of turn.|Planeshift|Common|Rebecca Guay|65|Enchant creature<br>{B}: Regenerate enchanted creature.<br>{R}: Enchanted creature gets +1/+0 until end of turn.<br>{G}: Enchanted creature gains trample until end of turn.|
21276|Escape Routes|{2}{U}|Enchantment|||{2}{U}: Return target white or black creature you control to its owner's hand.|Planeshift|Common|Marc Fishman|25|{2}{U}: Return target white or black creature you control to its owner's hand.|
21323|Keldon Twilight|{1}{B}{R}|Enchantment|||At the beginning of each player's end step, if no creatures attacked this turn, that player sacrifices a creature he or she controlled since the beginning of the turn.|Planeshift|Rare|Franz Vohwinkel|112|At the beginning of each player's end step, if no creatures attacked this turn, that player sacrifices a creature he or she controlled since the beginning of the turn.|
22025|Slingshot Goblin|{2}{R}|Creature - Goblin|2|2|{R}, {T}: Slingshot Goblin deals 2 damage to target blue creature.|Planeshift|Common|Jeff Easley|72|{R}, {T}: Slingshot Goblin deals 2 damage to target blue creature.|
22298|Multani's Harmony|{G}|Enchantment - Aura|||Enchant creature<br>Enchanted creature has "{T}: Add one mana of any color to your mana pool."|Planeshift|Uncommon|Darrell Riche|84|Enchant creature<br>Enchanted creature has "{T}: Add one mana of any color to your mana pool."|
22962|Samite Elder|{2}{W}|Creature - Human Cleric|1|2|{T}: Creatures you control gain protection from the colors of target permanent you control until end of turn.|Planeshift|Rare|Terese Nielsen|14|{T}: Creatures you control gain protection from the colors of target permanent you control until end of turn.|
