ID|NAME|COST|TYPE|POWER|TOUGHNESS|ORACLE|SET|RARITY|ARTIST|COLLNUM|TEXT|PROPERTIES
447082|Aggressive Instinct|{1}{G}|Sorcery|||Target creature you control deals damage equal to its power to target creature you don't control.|Global Series: Jiang Yanggu and Mu Yanling|Common|Wolk Sheep|34|Target creature you control deals damage equal to its power to target creature you don't control.|
447060|Ancestor Dragon|{4}{W}{W}|Creature - Dragon|5|6|Flying<br>Whenever one or more creatures you control attack, you gain 1 life for each attacking creature.|Global Series: Jiang Yanggu and Mu Yanling|Rare|Shinchuen Chen|12|Flying<br>Whenever one or more creatures you control attack, you gain 1 life for each attacking creature.|
447055|Armored Whirl Turtle|{2}{U}|Creature - Turtle|0|5||Global Series: Jiang Yanggu and Mu Yanling|Common|Tingting Yeh|7||
447081|Breath of Fire|{1}{R}|Instant|||Breath of Fire deals 2 damage to target creature.|Global Series: Jiang Yanggu and Mu Yanling|Common|Xin-Yu Liu|33|Breath of Fire deals 2 damage to target creature.|
447065|Brilliant Plan|{4}{U}|Sorcery|||Draw three cards.|Global Series: Jiang Yanggu and Mu Yanling|Uncommon|Yutaka Li|17|Draw three cards.|
447085|Cleansing Screech|{4}{R}|Sorcery|||Cleansing Screech deals 4 damage to any target.|Global Series: Jiang Yanggu and Mu Yanling|Common|Tingting Yeh|37|Cleansing Screech deals 4 damage to any target.|
447061|Cloak of Mists|{1}{U}|Enchantment - Aura|||Enchant creature<br>Enchanted creature can't be blocked.|Global Series: Jiang Yanggu and Mu Yanling|Common|Tingting Yeh|13|Enchant creature<br>Enchanted creature can't be blocked.|
447050|Colorful Feiyi Sparrow|{1}{W}|Creature - Bird|1|3|Flying <i>(This creature can't be blocked except by creatures with flying or reach.)</i>|Global Series: Jiang Yanggu and Mu Yanling|Common|Kee Lo|2|Flying <i>(This creature can't be blocked except by creatures with flying or reach.)</i>|
447083|Confidence from Strength|{2}{G}|Sorcery|||Target creature gets +4/+4 and gains trample until end of turn. <i>(It can deal excess combat damage to the player or planeswalker it's attacking.)</i>|Global Series: Jiang Yanggu and Mu Yanling|Common|Shinchuen Chen|35|Target creature gets +4/+4 and gains trample until end of turn. <i>(It can deal excess combat damage to the player or planeswalker it's attacking.)</i>|
447064|Dragon's Presence|{2}{W}|Instant|||Dragon's Presence deals 5 damage to target attacking or blocking creature.|Global Series: Jiang Yanggu and Mu Yanling|Common|Tan Yan Yao|16|Dragon's Presence deals 5 damage to target attacking or blocking creature.|
447063|Drown in Shapelessness|{1}{U}|Instant|||Return target creature to its owner's hand.|Global Series: Jiang Yanggu and Mu Yanling|Common|Pon Lee|15|Return target creature to its owner's hand.|
447057|Earth-Origin Yak|{3}{W}|Creature - Ox|2|4|When Earth-Origin Yak enters the battlefield, creatures you control get +1/+1 until end of turn.|Global Series: Jiang Yanggu and Mu Yanling|Common|Tan Yan Yao|9|When Earth-Origin Yak enters the battlefield, creatures you control get +1/+1 until end of turn.|
447079|Earthshaking Si|{5}{G}|Creature - Beast|5|5|Trample <i>(This creature can deal excess combat damage to the player or planeswalker it's attacking.)</i>|Global Series: Jiang Yanggu and Mu Yanling|Common|Shinchuen Chen|31|Trample <i>(This creature can deal excess combat damage to the player or planeswalker it's attacking.)</i>|
447072|Feiyi Snake|{1}{G}|Creature - Snake|2|1|Reach <i>(This creature can block creatures with flying.)</i>|Global Series: Jiang Yanggu and Mu Yanling|Common|Qiu De En|24|Reach <i>(This creature can block creatures with flying.)</i>|
447076|Ferocious Zheng|{2}{G}{G}|Creature - Cat Beast|4|4||Global Series: Jiang Yanggu and Mu Yanling|Common|Yutaka Li|28||
447077|Fire-Omen Crane|{3}{R}{R}|Creature - Bird Spirit|3|3|Flying <i>(This creature can't be blocked except by creatures with flying or reach.)</i><br>Whenever Fire-Omen Crane attacks, it deals 1 damage to target creature an opponent controls.|Global Series: Jiang Yanggu and Mu Yanling|Uncommon|Tan Yan Yao|29|Flying <i>(This creature can't be blocked except by creatures with flying or reach.)</i><br>Whenever Fire-Omen Crane attacks, it deals 1 damage to target creature an opponent controls.|
447088|Forest||Basic Land-- Forest|||G|Global Series: Jiang Yanggu and Mu Yanling|Land|Xin-Yu Liu|40|G|
447075|Giant Spider|{3}{G}|Creature - Spider|2|4|Reach <i>(This creature can block creatures with flying.)</i>|Global Series: Jiang Yanggu and Mu Yanling|Common|Qiu De En|27|Reach <i>(This creature can block creatures with flying.)</i>|
447080|Hardened-Scale Armor|{2}{G}|Enchantment - Aura|||Enchant creature<br>Enchanted creature gets +3/+3.|Global Series: Jiang Yanggu and Mu Yanling|Common|Tan Yan Yao|32|Enchant creature<br>Enchanted creature gets +3/+3.|
447054|Heavenly Qilin|{2}{W}|Creature - Kirin|2|2|Flying <i>(This creature can't be blocked except by creatures with flying or reach.)</i><br>Whenever Heavenly Qilin attacks, another target creature you control gains flying until end of turn.|Global Series: Jiang Yanggu and Mu Yanling|Common|Xin-Yu Liu|6|Flying <i>(This creature can't be blocked except by creatures with flying or reach.)</i><br>Whenever Heavenly Qilin attacks, another target creature you control gains flying until end of turn.|
447069|Island||Basic Land-- Island|||U|Global Series: Jiang Yanggu and Mu Yanling|Land|Babyson Chen & Uzhen Lin|21|U|
447070|Jiang Yanggu|{4}{G}|Legendary Planeswalker - Yanggu||4|+1: Target creature gets +2/+2 until end of turn.<br>−1: If you don't control a creature named Mowu, create a legendary 3/3 green Hound creature token named Mowu.<br>−5: Until end of turn, target creature gains trample and gets +X/+X, where X is the number of lands you control.|Global Series: Jiang Yanggu and Mu Yanling|Mythic Rare|Tingting Yeh|22|+1: Target creature gets +2/+2 until end of turn.<br>−1: If you don't control a creature named Mowu, create a legendary 3/3 green Hound creature token named Mowu.<br>−5: Until end of turn, target creature gains trample and gets +X/+X, where X is the number of lands you control.|
447084|Journey for the Elixir|{2}{G}|Sorcery|||Search your library and graveyard for a basic land card and a card named Jiang Yanggu, reveal them, put them into your hand, then shuffle your library.|Global Series: Jiang Yanggu and Mu Yanling|Rare|Qiu De En|36|Search your library and graveyard for a basic land card and a card named Jiang Yanggu, reveal them, put them into your hand, then shuffle your library.|
447071|Leopard-Spotted Jiao|{1}{R}|Creature - Beast|3|1||Global Series: Jiang Yanggu and Mu Yanling|Common|Shinchuen Chen|23||
447067|Meandering River||Land|||Meandering River enters the battlefield tapped.<br>{T}: Add {W} or {U}.|Global Series: Jiang Yanggu and Mu Yanling|Common|Gaga Zeng|19|Meandering River enters the battlefield tapped.<br>{T}: Add {W} or {U}.|
447058|Moon-Eating Dog|{3}{U}|Creature - Hound|3|3|As long as you control a Yanling planeswalker, Moon-Eating Dog has flying. <i>(It can't be blocked except by creatures with flying or reach.)</i>|Global Series: Jiang Yanggu and Mu Yanling|Uncommon|Tingting Yeh|10|As long as you control a Yanling planeswalker, Moon-Eating Dog has flying. <i>(It can't be blocked except by creatures with flying or reach.)</i>|
447087|Mountain||Basic Land-- Mountain|||R|Global Series: Jiang Yanggu and Mu Yanling|Land|Gaga Zeng|39|R|
447049|Mu Yanling|{4}{U}{U}|Legendary Planeswalker - Yanling||5|+2: Target creature can't be blocked this turn.<br>−3: Draw two cards.<br>−10: Tap all creatures your opponents control. You take an extra turn after this one.|Global Series: Jiang Yanggu and Mu Yanling|Mythic Rare|林玄泰|1|+2: Target creature can't be blocked this turn.<br>−3: Draw two cards.<br>−10: Tap all creatures your opponents control. You take an extra turn after this one.|
447056|Nine-Tail White Fox|{2}{U}|Creature - Fox Spirit|2|2|Whenever Nine-Tail White Fox deals combat damage to a player, draw a card.|Global Series: Jiang Yanggu and Mu Yanling|Common|林玄泰|8|Whenever Nine-Tail White Fox deals combat damage to a player, draw a card.|
447068|Plains||Basic Land-- Plains|||W|Global Series: Jiang Yanggu and Mu Yanling|Land|Tingting Yeh|20|W|
447051|Purple-Crystal Crab|{1}{U}|Creature - Crab|1|1|When Purple-Crystal Crab dies, draw a card.|Global Series: Jiang Yanggu and Mu Yanling|Common|Tan Yan Yao|3|When Purple-Crystal Crab dies, draw a card.|
447062|Qilin's Blessing|{W}|Instant|||Target creature gets +2/+2 until end of turn.|Global Series: Jiang Yanggu and Mu Yanling|Common|Wolk Sheep|14|Target creature gets +2/+2 until end of turn.|
447074|Reckless Pangolin|{2}{G}|Creature - Pangolin|2|2|Whenever Reckless Pangolin attacks, it gets +1/+1 until end of turn.|Global Series: Jiang Yanggu and Mu Yanling|Common|Wolk Sheep|26|Whenever Reckless Pangolin attacks, it gets +1/+1 until end of turn.|
447066|Rhythmic Water Vortex|{3}{U}{U}|Sorcery|||Return up to two target creatures to their owner's hand.<br>Search your library and/or graveyard for a card named Mu Yanling, reveal it, and put it into your hand. If you searched your library this way, shuffle it.|Global Series: Jiang Yanggu and Mu Yanling|Rare|Xin-Yu Liu|18|Return up to two target creatures to their owner's hand.<br>Search your library and/or graveyard for a card named Mu Yanling, reveal it, and put it into your hand. If you searched your library this way, shuffle it.|
447073|Sacred White Deer|{1}{G}|Creature - Elk|2|2|{3}{G}, {T}: You gain 4 life. Activate this ability only if you control a Yanggu planeswalker.|Global Series: Jiang Yanggu and Mu Yanling|Uncommon|G-host Lee|25|{3}{G}, {T}: You gain 4 life. Activate this ability only if you control a Yanggu planeswalker.|
447078|Screeching Phoenix|{4}{R}{R}|Creature - Phoenix|4|4|Flying<br>{2}{R}: Creatures you control get +1/+0 until end of turn.|Global Series: Jiang Yanggu and Mu Yanling|Rare|Tingting Yeh|30|Flying<br>{2}{R}: Creatures you control get +1/+0 until end of turn.|
447059|Stormcloud Spirit|{3}{U}{U}|Creature - Spirit|4|4|Flying <i>(This creature can't be blocked except by creatures with flying or reach.)</i>|Global Series: Jiang Yanggu and Mu Yanling|Uncommon|Kee Lo|11|Flying <i>(This creature can't be blocked except by creatures with flying or reach.)</i>|
447086|Timber Gorge||Land|||Timber Gorge enters the battlefield tapped.<br>{T}: Add {R} or {G}.|Global Series: Jiang Yanggu and Mu Yanling|Common|Babyson Chen & Uzhen Lin|38|Timber Gorge enters the battlefield tapped.<br>{T}: Add {R} or {G}.|
447052|Vivid Flying Fish|{1}{U}|Creature - Fish Lizard|1|1|Vivid Flying Fish has flying as long as it's attacking. <i>(It can't be blocked except by creatures with flying or reach.)</i>|Global Series: Jiang Yanggu and Mu Yanling|Common|Tingting Yeh|4|Vivid Flying Fish has flying as long as it's attacking. <i>(It can't be blocked except by creatures with flying or reach.)</i>|
447053|Welkin Tern|{1}{U}|Creature - Bird|2|1|Flying <i>(This creature can't be blocked except by creatures with flying or reach.)</i><br>Welkin Tern can block only creatures with flying.|Global Series: Jiang Yanggu and Mu Yanling|Common|Yutaka Li|5|Flying <i>(This creature can't be blocked except by creatures with flying or reach.)</i><br>Welkin Tern can block only creatures with flying.|
