id|name|cost|type|power|toughness|oracleText|edition|rarity|colorType|cmc
1007|Golgothian Sylex|{4}|Artifact| | |{1}, {T}: Destroy all cards from the Antiquities expansion.|Antiquities |Rare|null|0
100|Control Magic|{2}{U}{U}|Enchantment - Aura| | |Enchant creature <br>You control enchanted creature.|Limited Edition Alpha |Uncommon|null|0
1011|Mightstone|{4}|Artifact| | |Whenever a creature attacks, it gets +1/+0 as long as it's attacking.|Antiquities |Uncommon|null|0
1018|Rakalite|{6}|Artifact| | |{2}: Prevent the next 1 damage that would be dealt to target creature or player this turn. Return Rakalite to its owner's hand at end of turn.|Antiquities |Uncommon|null|0
1021|Staff of Zegon|{4}|Artifact| | |{3}, {T}: Target creature gets -2/-0 until end of turn.|Antiquities |Common|null|0
1022|Su-Chi|{4}|Artifact Creature - Construct|4|4|When Su-Chi is put into a graveyard from play, add {4} to your mana pool.|Antiquities |Uncommon|null|0
1023|Tablet of Epityr|{1}|Artifact| | |Whenever an artifact you control is put into a graveyard from play, you may pay {1}. If you do, you gain 1 life.|Antiquities |Common|null|0
1024|Tawnos's Coffin|{4}|Artifact| | |You may choose not to untap Tawnos's Coffin during your untap step. <br>{3}, {T}: Remove target creature and all Auras attached to it from the game. Note the number and kind of counters that were on that creature. When Tawnos's Coffin leaves play or becomes untapped, return the removed card to play under its owner's control tapped with the noted number and kind of counters on it, and if you do, return the removed Aura cards to play under their owner's control attached to that permanent.|Antiquities |Rare|null|0
102|Counterspell|{U}{U}|Instant| | |Counter target spell.|Limited Edition Alpha |Uncommon|null|0
1031|Urza's Chalice|{1}|Artifact| | |Whenever a player plays an artifact spell, you may pay {1}. If you do, you gain 1 life.|Antiquities |Common|null|0
1032|Urza's Miter|{3}|Artifact| | |Whenever an artifact you control is put into a graveyard from play, if it wasn't sacrificed, you may pay {3}. If you do, draw a card.|Antiquities |Rare|null|0
1034|Weakstone|{4}|Artifact| | |Whenever a creature attacks, it gets -1/-0 until end of combat.|Antiquities |Uncommon|null|0
1036|Artifact Possession|{2}{B}|Enchantment - Aura| | |Enchant artifact <br>Whenever enchanted artifact becomes tapped or a player plays an activated ability of enchanted artifact without {T} in its activation cost, Artifact Possession deals 2 damage to that artifact's controller.|Antiquities |Common|null|0
1037|Drafna's Restoration|{U}|Sorcery| | |Return any number of target artifact cards from target player's graveyard to the top of his or her library in any order.|Antiquities |Common|null|0
