ID|NAME|COST|TYPE|POWER|TOUGHNESS|ORACLE|SET|RARITY|ARTIST|COLLNUM|TEXT|PROPERTIES
438644|Abyssal Persecutor|{2}{B}{B}|Creature - Demon|6|6|Flying, trample<br>You can't win the game and your opponents can't lose the game.|Iconic Masters|Rare|Chippy|78|Flying, trample<br>You can't win the game and your opponents can't lose the game.|
438568|Abzan Battle Priest|{3}{W}|Creature - Human Cleric|3|2|Outlast {W} <i>({W}, {T}: Put a +1/+1 counter on this creature. Outlast only as a sorcery.)</i><br>Each creature you control with a +1/+1 counter on it has lifelink.|Iconic Masters|Uncommon|Chris Rahn|2|Outlast {W} <i>({W}, {T}: Put a +1/+1 counter on this creature. Outlast only as a sorcery.)</i><br>Each creature you control with a +1/+1 counter on it has lifelink.|
438569|Abzan Falconer|{2}{W}|Creature - Human Soldier|2|3|Outlast {W} <i>({W}, {T}: Put a +1/+1 counter on this creature. Outlast only as a sorcery.)</i><br>Each creature you control with a +1/+1 counter on it has flying.|Iconic Masters|Uncommon|Steven Belledin|3|Outlast {W} <i>({W}, {T}: Put a +1/+1 counter on this creature. Outlast only as a sorcery.)</i><br>Each creature you control with a +1/+1 counter on it has flying.|
438720|Aerial Predation|{2}{G}|Instant|||Destroy target creature with flying. You gain 2 life.|Iconic Masters|Common|BD|154|Destroy target creature with flying. You gain 2 life.|
438778|Aether Vial|{1}|Artifact|||At the beginning of your upkeep, you may put a charge counter on Aether Vial.<br>{T}: You may put a creature card with converted mana cost equal to the number of charge counters on Aether Vial from your hand onto the battlefield.|Iconic Masters|Rare|Karl Kopinski|212|At the beginning of your upkeep, you may put a charge counter on Aether Vial.<br>{T}: You may put a creature card with converted mana cost equal to the number of charge counters on Aether Vial from your hand onto the battlefield.|
438606|Aetherize|{3}{U}|Instant|||Return all attacking creatures to their owner's hand.|Iconic Masters|Uncommon|Ryan Barger|40|Return all attacking creatures to their owner's hand.|
438570|Ainok Bond-Kin|{1}{W}|Creature - Hound Soldier|2|1|Outlast {1}{W} <i>({1}{W}, {T}: Put a +1/+1 counter on this creature. Outlast only as a sorcery.)</i><br>Each creature you control with a +1/+1 counter on it has first strike.|Iconic Masters|Common|Chris Rahn|4|Outlast {1}{W} <i>({1}{W}, {T}: Put a +1/+1 counter on this creature. Outlast only as a sorcery.)</i><br>Each creature you control with a +1/+1 counter on it has first strike.|
438571|Ajani's Pridemate|{1}{W}|Creature - Cat Soldier|2|2|Whenever you gain life, put a +1/+1 counter on Ajani's Pridemate.|Iconic Masters|Uncommon|Svetlin Velinov|5|Whenever you gain life, put a +1/+1 counter on Ajani's Pridemate.|
438607|Amass the Components|{3}{U}|Sorcery|||Draw three cards, then put a card from your hand on the bottom of your library.|Iconic Masters|Common|Matt Stewart|41|Draw three cards, then put a card from your hand on the bottom of your library.|
438608|Ancestral Vision||Sorcery|||Suspend 4—{U} <i>(Rather than cast this card from your hand, pay {U} and exile it with four time counters on it. At the beginning of your upkeep, remove a time counter. When the last is removed, cast it without paying its mana cost.)</i><br>Target player draws three cards.|Iconic Masters|Rare|John Avon|42|Suspend 4—{U} <i>(Rather than cast this card from your hand, pay {U} and exile it with four time counters on it. At the beginning of your upkeep, remove a time counter. When the last is removed, cast it without paying its mana cost.)</i><br>Target player draws three cards.|
438572|Angel of Mercy|{4}{W}|Creature - Angel|3|3|Flying<br>When Angel of Mercy enters the battlefield, you gain 3 life.|Iconic Masters|Common|Volkan Baga|6|Flying<br>When Angel of Mercy enters the battlefield, you gain 3 life.|
438573|Angelic Accord|{3}{W}|Enchantment|||At the beginning of each end step, if you gained 4 or more life this turn, create a 4/4 white Angel creature token with flying.|Iconic Masters|Uncommon|Michael C. Hayes|7|At the beginning of each end step, if you gained 4 or more life this turn, create a 4/4 white Angel creature token with flying.|
438682|Anger of the Gods|{1}{R}{R}|Sorcery|||Anger of the Gods deals 3 damage to each creature. If a creature dealt damage this way would die this turn, exile it instead.|Iconic Masters|Rare|Noah Bradley|116|Anger of the Gods deals 3 damage to each creature. If a creature dealt damage this way would die this turn, exile it instead.|
438574|Archangel of Thune|{3}{W}{W}|Creature - Angel|3|4|Flying<br>Lifelink <i>(Damage dealt by this creature also causes you to gain that much life.)</i><br>Whenever you gain life, put a +1/+1 counter on each creature you control.|Iconic Masters|Mythic Rare|James Ryman|8|Flying<br>Lifelink <i>(Damage dealt by this creature also causes you to gain that much life.)</i><br>Whenever you gain life, put a +1/+1 counter on each creature you control.|
438721|Assault Formation|{1}{G}|Enchantment|||Each creature you control assigns combat damage equal to its toughness rather than its power.<br>{G}: Target creature with defender can attack this turn as though it didn't have defender.<br>{2}{G}: Creatures you control get +0/+1 until end of turn.|Iconic Masters|Uncommon|Kieran Yanner|155|Each creature you control assigns combat damage equal to its toughness rather than its power.<br>{G}: Target creature with defender can attack this turn as though it didn't have defender.<br>{2}{G}: Creatures you control get +0/+1 until end of turn.|
438575|Auriok Champion|{W}{W}|Creature - Human Cleric|1|1|Protection from black and from red<br>Whenever another creature enters the battlefield, you may gain 1 life.|Iconic Masters|Rare|Eric Deschamps|9|Protection from black and from red<br>Whenever another creature enters the battlefield, you may gain 1 life.|
438576|Austere Command|{4}{W}{W}|Sorcery|||Choose two-<br>• Destroy all artifacts.<br>• Destroy all enchantments.<br>• Destroy all creatures with converted mana cost 3 or less.<br>• Destroy all creatures with converted mana cost 4 or greater.|Iconic Masters|Rare|Anna Steinbauer|10|Choose two-<br>• Destroy all artifacts.<br>• Destroy all enchantments.<br>• Destroy all creatures with converted mana cost 3 or less.<br>• Destroy all creatures with converted mana cost 4 or greater.|
438577|Avacyn, Angel of Hope|{5}{W}{W}{W}|Legendary Creature - Angel|8|8|Flying, vigilance, indestructible<br>Other permanents you control have indestructible.|Iconic Masters|Mythic Rare|Jason Chan|11|Flying, vigilance, indestructible<br>Other permanents you control have indestructible.|
438798|Azorius Chancery||Land|||Azorius Chancery enters the battlefield tapped.<br>When Azorius Chancery enters the battlefield, return a land you control to its owner's hand.<br>{T}: Add {W}{U}.|Iconic Masters|Uncommon|John Avon|232|Azorius Chancery enters the battlefield tapped.<br>When Azorius Chancery enters the battlefield, return a land you control to its owner's hand.<br>{T}: Add {W}{U}.|
438758|Azorius Charm|{W}{U}|Instant|||Choose one-<br>• Creatures you control gain lifelink until end of turn.<br>• Draw a card.<br>• Put target attacking or blocking creature on top of its owner's library.|Iconic Masters|Uncommon|Zoltan Boros|192|Choose one-<br>• Creatures you control gain lifelink until end of turn.<br>• Draw a card.<br>• Put target attacking or blocking creature on top of its owner's library.|
438645|Bala Ged Scorpion|{3}{B}|Creature - Scorpion|2|3|When Bala Ged Scorpion enters the battlefield, you may destroy target creature with power 1 or less.|Iconic Masters|Common|Daarken|79|When Bala Ged Scorpion enters the battlefield, you may destroy target creature with power 1 or less.|
