ID|NAME|COST|TYPE|POWER|TOUGHNESS|ORACLE|SET|RARITY|ARTIST|COLLNUM|TEXT|PROPERTIES
214045|Mountain||Basic Land - Mountain|||R|Mirrodin Besieged|Land|Tomasz Jedruszek|152|R|
214066|Mountain||Basic Land - Mountain|||R|Mirrodin Besieged|Land|Tomasz Jedruszek|153|R|
214057|Plains||Basic Land - Plains|||W|Mirrodin Besieged|Land|James Paick|146|W|
220366|Plains||Basic Land - Plains|||W|Mirrodin Besieged|Land|James Paick|147|W|
220367|Swamp||Basic Land - Swamp|||B|Mirrodin Besieged|Land|Lars Grant-West|150|B|
220368|Swamp||Basic Land - Swamp|||B|Mirrodin Besieged|Land|Lars Grant-West|151|B|
213818|Accorder Paladin|{1}{W}|Creature - Human Knight|3|1|Battle cry <i>(Whenever this creature attacks, each other attacking creature gets +1/+0 until end of turn.)</i>|Mirrodin Besieged|Uncommon||1|Battle cry <i>(Whenever this creature attacks, each other attacking creature gets +1/+0 until end of turn.)</i>|
213794|Ardent Recruit|{W}|Creature - Human Soldier|1|1|Metalcraft- Ardent Recruit gets +2/+2 as long as you control three or more artifacts.|Mirrodin Besieged|Common||2|Metalcraft- Ardent Recruit gets +2/+2 as long as you control three or more artifacts.|
213792|Banishment Decree|{3}{W}{W}|Instant|||Put target artifact, creature, or enchantment on top of its owner's library.|Mirrodin Besieged|Common||3|Put target artifact, creature, or enchantment on top of its owner's library.|
214061|Black Sun's Zenith|{X}{B}{B}|Sorcery|||Put X -1/-1 counters on each creature. Shuffle Black Sun's Zenith into its owner's library.|Mirrodin Besieged|Rare||39|Put X -1/-1 counters on each creature. Shuffle Black Sun's Zenith into its owner's library.|
214049|Bladed Sentinel|{4}|Artifact Creature - Construct|2|4|{W}: Bladed Sentinel gains vigilance until end of turn.|Mirrodin Besieged|Common||98|{W}: Bladed Sentinel gains vigilance until end of turn.|
221563|Blightsteel Colossus|{12}|Artifact Creature - Golem|11|11|Trample, infect<br>Blightsteel Colossus is indestructible.<br>If Blightsteel Colossus would be put into a graveyard from anywhere, reveal Blightsteel Colossus and shuffle it into its owner's library instead.|Mirrodin Besieged|Mythic Rare||99|Trample, infect<br>Blightsteel Colossus is indestructible.<br>If Blightsteel Colossus would be put into a graveyard from anywhere, reveal Blightsteel Colossus and shuffle it into its owner's library instead.|
213820|Blightwidow|{3}{G}|Creature - Spider|2|4|Reach <i>(This creature can block creatures with flying.)</i><br>Infect <i>(This creature deals damage to creatures in the form of -1/-1 counters and to players in the form of poison counters.)</i>|Mirrodin Besieged|Common||77|Reach <i>(This creature can block creatures with flying.)</i><br>Infect <i>(This creature deals damage to creatures in the form of -1/-1 counters and to players in the form of poison counters.)</i>|
213793|Blisterstick Shaman|{2}{R}|Creature - Goblin Shaman|2|1|When Blisterstick Shaman enters the battlefield, it deals 1 damage to target creature or player.|Mirrodin Besieged|Common||58|When Blisterstick Shaman enters the battlefield, it deals 1 damage to target creature or player.|
221556|Blue Sun's Zenith|{X}{U}{U}{U}|Instant|||Target player draws X cards. Shuffle Blue Sun's Zenith into its owner's library.|Mirrodin Besieged|Rare||20|Target player draws X cards. Shuffle Blue Sun's Zenith into its owner's library.|
214040|Bonehoard|{4}|Artifact - Equipment|||Living weapon <i>(When this Equipment enters the battlefield, put a 0/0 black Germ creature token onto the battlefield, then attach this to it.)</i><br>Equipped creature gets +X/+X, where X is the number of creature cards in all graveyards.<br>Equip {2}|Mirrodin Besieged|Rare||100|Living weapon <i>(When this Equipment enters the battlefield, put a 0/0 black Germ creature token onto the battlefield, then attach this to it.)</i><br>Equipped creature gets +X/+X, where X is the number of creature cards in all graveyards.<br>Equip {2}|
213800|Brass Squire|{3}|Artifact Creature - Myr|1|3|{T}: Attach target Equipment you control to target creature you control.|Mirrodin Besieged|Uncommon||101|{T}: Attach target Equipment you control to target creature you control.|
213771|Burn the Impure|{1}{R}|Instant|||Burn the Impure deals 3 damage to target creature. If that creature has infect, Burn the Impure deals 3 damage to that creature's controller.|Mirrodin Besieged|Common||59|Burn the Impure deals 3 damage to target creature. If that creature has infect, Burn the Impure deals 3 damage to that creature's controller.|
213789|Caustic Hound|{5}{B}|Creature - Hound|4|4|When Caustic Hound dies, each player loses 4 life.|Mirrodin Besieged|Common||40|When Caustic Hound dies, each player loses 4 life.|
213808|Choking Fumes|{2}{W}|Instant|||Put a -1/-1 counter on each attacking creature.|Mirrodin Besieged|Uncommon||4|Put a -1/-1 counter on each attacking creature.|
