ID|NAME|COST|TYPE|POWER|TOUGHNESS|ORACLE|SET|RARITY|ARTIST|COLLNUM|TEXT|PROPERTIES
106568|Mimeofacture|{3}{U}|Sorcery|||Replicate {3}{U} <i>(When you cast this spell, copy it for each time you paid its replicate cost. You may choose new targets for the copies.)</i><br>Choose target permanent an opponent controls. Search that player's library for a card with the same name and put it onto the battlefield under your control. Then that player shuffles his or her library.|Guildpact|Rare|Dan Scott|30|Replicate {3}{U} <i>(When you cast this spell, copy it for each time you paid its replicate cost. You may choose new targets for the copies.)</i><br>Choose target permanent an opponent controls. Search that player's library for a card with the same name and put it onto the battlefield under your control. Then that player shuffles his or her library.|
106575|Streetbreaker Wurm|{3}{R}{G}|Creature - Wurm|6|4||Guildpact|Common|Greg Hildebrandt|133||
106576|Giant Solifuge|{2}{R/G}{R/G}|Creature - Insect|4|1|<i>({R/G} can be paid with either {R} or {G}.)</i><br>Trample; haste; shroud <i>(This permanent can't be the target of spells or abilities.)</i>|Guildpact|Rare|Pat Lee|143|<i>({R/G} can be paid with either {R} or {G}.)</i><br>Trample; haste; shroud <i>(This permanent can't be the target of spells or abilities.)</i>|
107090|Witch-Maw Nephilim|{G}{W}{U}{B}|Creature - Nephilim|1|1|Whenever you cast a spell, you may put two +1/+1 counters on Witch-Maw Nephilim.<br>Whenever Witch-Maw Nephilim attacks, it gains trample until end of turn if its power is 10 or greater.|Guildpact|Rare|Greg Staples|138|Whenever you cast a spell, you may put two +1/+1 counters on Witch-Maw Nephilim.<br>Whenever Witch-Maw Nephilim attacks, it gains trample until end of turn if its power is 10 or greater.|
107091|Dune-Brood Nephilim|{B}{R}{G}{W}|Creature - Nephilim|3|3|Whenever Dune-Brood Nephilim deals combat damage to a player, put a 1/1 colorless Sand creature token onto the battlefield for each land you control.|Guildpact|Rare|Jim Murray|110|Whenever Dune-Brood Nephilim deals combat damage to a player, put a 1/1 colorless Sand creature token onto the battlefield for each land you control.|
107092|Ink-Treader Nephilim|{R}{G}{W}{U}|Creature - Nephilim|3|3|Whenever a player casts an instant or sorcery spell, if Ink-Treader Nephilim is the only target of that spell, copy the spell for each other creature that spell could target. Each copy targets a different one of those creatures.|Guildpact|Rare|Christopher Moeller|117|Whenever a player casts an instant or sorcery spell, if Ink-Treader Nephilim is the only target of that spell, copy the spell for each other creature that spell could target. Each copy targets a different one of those creatures.|
107093|Yore-Tiller Nephilim|{W}{U}{B}{R}|Creature - Nephilim|2|2|Whenever Yore-Tiller Nephilim attacks, return target creature card from your graveyard to the battlefield tapped and attacking.|Guildpact|Rare|Jeremy Jarvis|140|Whenever Yore-Tiller Nephilim attacks, return target creature card from your graveyard to the battlefield tapped and attacking.|
107094|Glint-Eye Nephilim|{U}{B}{R}{G}|Creature - Nephilim|2|2|Whenever Glint-Eye Nephilim deals combat damage to a player, draw that many cards.<br>{1}, Discard a card: Glint-Eye Nephilim gets +1/+1 until end of turn.|Guildpact|Rare|Mark Zug|115|Whenever Glint-Eye Nephilim deals combat damage to a player, draw that many cards.<br>{1}, Discard a card: Glint-Eye Nephilim gets +1/+1 until end of turn.|
107095|Sword of the Paruns|{4}|Artifact - Equipment|||As long as equipped creature is tapped, tapped creatures you control get +2/+0.<br>As long as equipped creature is untapped, untapped creatures you control get +0/+2.<br>{3}: You may tap or untap equipped creature.<br>Equip {3}|Guildpact|Rare|Tim Hildebrandt|156|As long as equipped creature is tapped, tapped creatures you control get +2/+0.<br>As long as equipped creature is untapped, untapped creatures you control get +0/+2.<br>{3}: You may tap or untap equipped creature.<br>Equip {3}|
107096|Mizzium Transreliquat|{3}|Artifact|||{3}: Mizzium Transreliquat becomes a copy of target artifact until end of turn.<br>{1}{U}{R}: Mizzium Transreliquat becomes a copy of target artifact and gains this ability.|Guildpact|Rare|John Avon|153|{3}: Mizzium Transreliquat becomes a copy of target artifact until end of turn.<br>{1}{U}{R}: Mizzium Transreliquat becomes a copy of target artifact and gains this ability.|
